lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
7,1,7,7,1,0,1,6,1,1,7,1,1,51.5709,44.523998
8,1,8,8,0,0,1,10,1,0,8,0,5,13.1263,36.0853
3,0,3,9,0,0,0,10,1,0,2,0,1,11.3138,36.0853
8,1,7,7,0,0,0,8,1,0,6,0,6,33.315701,45.434002
4,0,5,3,0,0,1,10,2,0,4,1,7,36.383301,21
2,0,3,4,1,2,1,10,5,1,4,1,7,38.195801,31.23
7,0,7,7,1,2,1,7,2,1,6,1,1,50.691402,43.613998
3,0,6,5,1,4,0,10,7,1,4,0,3,52.6609,36.0853
8,0,5,3,0,0,0,10,7,0,4,0,3,38.8554,34.743301
5,1,10,5,1,2,1,9,2,1,4,1,1,50.554802,58.370697
1,0,7,3,1,2,1,10,2,1,3,1,1,27.7323,18.119999
1,0,4,2,1,2,1,10,6,1,3,1,1,34.727798,33.5853
7,0,10,3,0,0,1,9,2,0,7,1,9,41.966702,25.043301
3,0,2,3,1,1,1,9,1,0,7,0,7,47.404202,24.41
1,0,6,8,1,3,1,10,9,0,3,0,5,34.904202,15.620001
3,1,8,8,1,0,1,9,8,1,3,1,7,48.639999,52.881996
1,0,3,9,1,2,1,10,9,0,3,0,5,27.811199,15.620001
6,0,9,7,1,3,1,6,6,0,6,0,1,23.0131,31.3333
1,0,1,1,1,3,1,10,8,0,5,0,9,22.471399,37.271999
8,0,7,6,1,1,1,8,9,0,6,0,8,34.862499,35.02
9,0,6,7,1,5,0,9,7,1,8,1,9,39.029198,21.91
1,1,7,4,0,0,0,9,1,0,2,0,1,13.2285,11.3
8,0,7,8,1,0,0,9,1,0,5,0,3,19.5012,23.8853
1,0,6,3,0,0,1,2,1,0,4,1,3,19.6471,18.119999
1,0,7,5,0,0,0,9,1,0,5,0,1,15.9785,36.5
8,1,8,6,0,3,0,9,10,0,8,0,1,15.299999,25.32
7,1,6,6,1,4,0,10,10,0,7,0,1,10.8,38.533298
9,1,10,10,0,6,0,1,1,0,2,0,1,33.833302,31.414
8,1,10,10,0,4,1,9,10,1,4,1,1,4.4250002,53.203999
5,0,10,6,1,0,1,10,6,1,5,1,5,36.237499,14.71
1,0,3,4,1,1,1,6,1,1,5,1,3,19.3445,31.3333
10,0,5,8,1,6,1,10,9,0,5,0,5,22.188801,46.972
2,0,7,6,1,2,1,10,1,0,3,0,9,30.7304,39.806702
1,0,1,8,1,4,1,10,1,1,1,1,1,33.272099,21.633301
1,0,10,3,1,2,0,10,1,0,5,0,4,26.383299,38.533298
