"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"100",3,15,1,46,61,15,0,50,15,50,15,30,0,2,48,4,2,1,3,4,3,1,50,9,55,45,60,70,35,35,35
"101",3,100,2,50,60,50,50,100,98,50,85,0,4,4,70,7,4,1,1,1,1,1,4,11,50,50,60,48,50,50,48
"102",1,30,70,50,50,15,60,0,40,50,15,60,1,5,52,5,4,4,3,7,7,7,30,27,0,15,15,40,40,60,70
"103",3,40,70,50,50,50,50,70,60,50,70,50,6,3,45,3,5,5,3,3,4,4,39,22,84,66,71,73,73,73,76
"104",1,90,0,40,30,90,15,100,80,85,90,15,2,2,49,5,4,1,1,3,2,1,50,27,100,100,98,100,47,61,70
"105",1,60,0,50,0,70,0,60,70,50,60,0,2,3,60,3,4,7,1,7,7,4,5,1,56,75,17,62,52,1,52
"106",2,61,16,41,14,51,51,62,50,16,30,14,1,2,60,4,3,1,3,4,4,3,55,17,70,47,61,50,40,41,49
"107",2,0,85,60,0,15,85,0,0,15,0,85,2,5,46,1,3,7,3,6,6,5,60,1,0,0,30,100,70,70,70
"108",2,3,100,52,51,31,82,2,7,51,3,90,3,6,50,2,5,6,3,6,7,4,40,18,40,16,32,50,50,77,50
"109",1,71,2,62,86,86,1,100,85,41,71,2,0,2,55,7,4,1,1,2,1,1,55,26,90,85,70,85,30,15,30
"110",3,16,71,60,50,50,84,15,31,50,30,84,0,6,46,3,6,5,3,6,6,4,20,13,41,16,40,51,70,85,60
"111",4,15,0,70,50,50,50,70,50,50,30,0,1,4,30,4,2,1,3,4,2,4,45,20,70,50,60,50,70,15,50
"112",3,2,51,50,16,70,60,41,32,48,70,41,2,4,30,3,5,4,3,5,4,3,40,21,31,30,51,50,30,50,50
"113",2,0,100,50,50,50,50,15,0,50,50,100,3,6,25,3,7,4,3,4,7,5,20,17,40,30,60,70,40,100,70
"114",1,75,0,15,75,80,15,85,75,50,75,0,0,1,65,7,1,1,1,1,2,1,40,13,91,84,64,84,1,0,26
"115",4,17,70,50,51,18,85,16,16,50,16,71,0,4,40,5,7,5,3,4,5,1,40,13,40,40,40,60,40,70,60
"116",2,60,15,50,50,60,37,60,85,50,55,20,4,3,53,3,5,4,1,5,5,3,50,27,50,40,30,50,50,60,50
