"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"254",4,71,0,1,3,31,1,98,84,2,98,39,2,4,100,4,5,1,1,3,1,4,45,23,84,84,85,90,61,41,69
"255",2,60,40,50,50,85,85,70,51,50,60,41,2,5,53,4,7,3,1,4,4,2,50,24,50,50,51,84,49,50,50
"256",2,70,0,50,50,60,15,70,85,50,60,15,2,2,53,6,4,3,1,2,3,2,45,26,80,70,55,75,40,45,45
"257",2,70,0,15,30,70,0,85,85,50,60,40,0,2,60,6,2,1,1,1,1,2,40,12,100,75,80,100,30,40,15
"258",4,0,85,15,16,0,85,0,30,15,30,100,6,6,45,1,7,7,3,7,5,4,40,14,50,10,0,60,60,85,85
"259",1,0,71,50,1,15,85,31,1,2,16,59,2,6,47,2,4,6,1,6,4,6,30,26,51,31,73,78,47,72,61
"260",2,61,0,50,51,50,15,70,84,50,31,16,3,4,51,4,4,4,1,6,7,2,50,28,15,15,40,70,50,40,70
"261",3,85,0,50,50,50,15,100,70,30,100,0,3,3,70,5,5,4,1,4,4,2,40,15,84,60,69,60,40,16,16
"262",4,99,4,56,52,56,12,100,99,52,100,23,3,4,65,4,4,4,3,4,5,4,50,15,53,51,53,57,51,51,41
"263",2,15,60,60,30,15,85,0,30,50,15,60,3,7,49,1,5,7,3,7,7,7,50,12,10,7,30,70,60,100,61
"264",2,40,0,0,50,30,100,60,0,70,15,0,2,4,48,3,6,3,1,6,7,7,80,25,15,30,50,85,15,60,40
"265",3,70,1,51,50,51,1,84,61,50,84,40,1,2,60,4,2,3,1,3,1,1,40,27,100,100,60,85,40,40,50
"266",1,100,0,31,31,100,0,100,100,53,91,0,1,2,65,6,4,2,1,2,3,1,50,26,100,100,100,71,0,16,70
"267",3,0,60,61,51,51,70,15,31,51,15,59,4,5,49,4,4,7,1,6,4,5,45,23,70,15,30,40,60,30,60
"268",1,0,100,0,0,0,100,0,15,15,0,100,2,7,48,3,6,7,3,4,7,6,29,20,0,0,60,70,50,100,50
"269",1,1,99,50,51,51,98,1,16,50,1,40,0,6,55,2,5,6,3,6,5,6,40,11,70,30,70,70,60,100,70
"270",1,95,0,10,30,70,0,98,95,10,95,10,1,2,52,5,2,1,1,1,2,1,21,9,90,100,80,80,10,5,40
"271",5,30,70,50,50,50,60,60,40,50,50,60,2,5,50,2,4,6,1,5,2,5,25,5,50,50,50,70,70,85,50
"272",2,1,30,50,51,30,70,30,1,51,34,60,2,5,46,2,4,6,3,5,6,5,40,21,45,49,30,67,51,64,59
"273",4,30,0,50,70,50,0,40,30,50,15,0,4,2,53,6,2,2,3,2,4,1,40,26,78,36,72,52,0,16,19
"274",2,0,85,50,50,15,60,0,15,30,15,85,3,6,40,4,6,5,1,3,4,1,50,17,60,15,30,85,50,100,40
"275",2,92,3,50,64,71,51,98,93,50,75,44,2,2,55,6,4,2,1,4,4,1,40,27,95,92,90,93,41,75,51
"276",1,0,60,15,0,15,100,0,0,15,0,85,1,4,45,3,7,6,3,7,6,6,36,26,41,17,18,71,72,71,69
"277",2,70,0,40,30,85,15,100,60,50,60,40,2,3,48,5,5,2,1,3,2,1,40,22,97,64,69,84,60,40,71
"278",2,90,0,40,40,80,30,85,80,60,85,15,0,2,47,6,4,1,1,3,2,2,50,25,70,60,85,70,15,15,70
"279",4,30,65,51,62,52,50,60,70,40,40,69,2,4,40,5,2,3,3,2,4,3,40,1,41,39,15,51,61,51,50
"280",2,60,15,2,2,61,30,72,71,11,66,26,1,3,52,3,4,6,1,4,5,3,50,26,56,69,54,85,49,41,45
"281",4,100,0,50,70,85,15,100,85,70,85,15,0,3,52,6,6,1,1,4,3,3,20,13,85,85,85,100,50,0,50
"282",2,0,100,0,0,0,100,30,0,0,0,30,0,6,40,3,4,7,3,7,7,5,40,15,50,15,40,60,85,85,85
"283",1,0,85,30,15,0,70,0,0,30,0,60,2,6,45,1,5,7,3,7,7,3,45,26,40,15,40,50,50,50,50
"284",3,30,60,50,50,50,50,40,50,50,40,60,0,5,52,3,3,6,1,3,2,4,40,18,15,30,60,70,50,70,50
"285",2,0,60,60,0,0,50,0,60,40,25,65,2,6,42,3,5,7,3,5,5,6,45,23,15,15,40,50,40,85,60
"286",4,30,0,50,40,60,30,70,60,50,30,15,0,3,65,3,5,3,1,6,7,3,20,9,61,78,60,51,62,42,77
"287",4,30,60,40,15,60,85,40,15,50,40,60,1,5,47,2,5,5,1,6,6,1,50,25,70,40,15,70,15,70,70
"288",1,16,70,49,51,15,100,1,17,50,30,70,1,6,40,2,5,5,3,4,6,3,40,15,73,30,62,51,62,70,71
"289",2,85,0,60,50,70,15,100,100,50,70,15,5,2,58,4,3,3,1,4,4,2,5,27,85,60,70,60,30,40,60
"290",1,85,0,30,15,70,0,100,100,70,85,0,1,1,48,7,6,1,1,3,2,2,60,26,85,85,85,100,70,15,85
"291",4,95,0,0,0,70,0,100,90,0,70,0,2,2,62,4,2,2,1,3,4,3,50,28,100,50,40,85,30,0,50
"292",2,0,85,30,60,30,100,15,30,50,30,70,0,5,40,1,5,4,3,3,2,7,50,15,15,30,40,85,70,70,60
"293",1,0,100,50,50,0,100,0,0,50,15,60,1,5,45,2,7,7,3,6,6,6,40,16,50,30,40,84,30,85,83
"294",1,0,85,50,50,50,50,15,30,50,15,70,1,6,40,3,6,5,2,6,5,6,20,23,50,30,15,50,70,85,70
"295",2,27,42,83,50,79,50,2,72,99,40,69,1,5,50,2,4,7,1,7,6,4,30,26,84,77,50,61,61,65,81
"296",5,15,60,40,50,50,40,0,15,50,15,50,1,5,50,2,2,4,3,4,4,6,40,17,50,50,50,100,50,50,100
"297",2,30,30,0,100,0,30,30,100,0,50,70,3,5,55,5,4,2,1,3,4,1,30,11,70,2,0,70,50,98,50
"298",2,0,85,60,30,40,70,15,85,0,15,70,1,6,47,2,7,3,3,6,7,4,50,26,60,50,60,50,60,85,70
"299",2,84,0,4,1,0,2,100,87,9,100,1,1,4,55,5,4,3,1,4,6,4,46,13,85,60,65,71,30,69,45
"300",3,100,0,0,15,100,0,100,100,50,100,0,5,2,70,6,4,1,1,1,4,1,10,7,85,100,100,85,50,0,50
"301",3,60,0,50,50,50,40,85,70,50,70,15,3,4,63,7,2,1,1,1,4,4,35,17,70,85,85,40,40,15,30
"302",1,60,0,1,50,50,50,70,50,50,50,15,4,4,52,4,4,6,3,6,7,6,40,21,50,49,16,50,51,37,49
"303",3,70,0,40,60,85,15,100,70,50,100,15,0,3,60,6,2,1,1,3,1,1,40,19,100,100,90,91,30,8,14
"304",3,70,0,60,50,50,50,85,85,50,30,30,1,2,52,3,3,3,1,5,3,3,42,20,85,100,50,85,60,40,70
"305",1,100,0,50,50,60,0,100,100,50,100,0,0,1,93,5,2,1,1,1,1,1,40,5,72,40,94,82,24,52,30
"306",2,15,83,71,17,28,80,29,40,71,30,71,0,6,55,2,4,5,1,5,4,6,32,20,40,32,42,51,70,85,51
"307",1,0,0,50,50,60,50,0,40,50,15,85,3,6,48,2,5,2,3,7,7,6,40,19,30,15,50,85,85,85,50
"308",4,15,70,50,50,50,85,15,30,50,15,60,2,6,55,2,4,7,3,5,5,5,50,21,30,15,40,85,70,70,70
"309",2,15,0,50,50,50,50,60,50,50,60,70,1,5,55,3,5,1,1,4,6,4,50,12,100,85,100,85,85,100,85
"310",2,15,60,50,30,30,70,40,60,50,40,85,0,7,49,3,4,7,1,7,7,6,20,28,51,51,72,52,98,71,71
"311",1,80,0,40,16,61,18,98,71,50,80,55,2,3,48,5,4,6,1,4,4,2,40,17,60,50,50,59,50,50,50
"312",2,60,0,50,60,50,5,90,85,50,70,15,3,3,65,5,1,1,1,3,2,1,40,24,70,60,60,85,5,30,40
"313",2,70,15,40,30,70,30,85,85,40,85,30,2,2,49,5,4,1,1,2,3,2,25,12,60,85,85,70,30,30,50
"314",4,30,0,30,30,30,15,0,15,30,30,40,1,4,55,3,4,6,1,5,5,3,40,24,85,40,85,100,40,60,50
"315",3,85,0,70,40,30,40,100,50,50,100,0,2,2,60,5,7,1,1,5,6,2,32,7,50,100,50,100,40,30,50
"316",3,0,85,50,50,30,100,60,0,50,30,70,0,4,44,3,5,4,1,4,4,4,40,11,59,40,13,50,57,58,60
"317",3,60,40,50,50,50,50,70,70,50,60,60,3,4,60,5,6,4,1,5,4,1,40,27,57,50,32,84,50,49,84
"318",2,85,0,51,51,71,51,59,97,50,69,50,1,4,70,3,5,6,3,3,7,2,50,27,41,50,50,60,41,30,41
"319",2,85,0,85,70,70,15,100,85,100,70,30,0,1,60,7,1,1,1,2,2,1,45,14,85,85,85,50,70,30,30
"320",3,30,60,30,15,15,15,70,40,0,60,50,3,4,55,7,6,4,1,1,4,2,40,16,50,50,30,85,50,60,50
"321",1,60,15,40,90,100,30,85,85,0,70,20,2,4,60,4,4,3,1,2,2,5,50,17,70,80,40,60,70,10,50
"322",3,3,73,50,19,39,97,11,0,50,2,71,2,7,70,4,4,7,3,6,6,2,60,25,50,18,7,86,98,82,14
"323",2,40,0,50,60,60,60,70,60,50,50,50,0,4,75,7,6,1,3,4,6,4,40,16,70,85,85,85,70,85,70
"324",4,0,100,0,0,1,0,15,16,13,15,75,0,6,10,1,4,2,3,1,7,1,32,6,0,0,50,85,100,100,99
"325",3,31,3,51,51,50,50,51,50,49,51,51,3,5,60,4,4,4,3,6,7,3,45,21,85,30,0,70,0,70,15
"326",2,41,2,52,50,51,1,70,98,50,71,49,1,3,55,4,6,4,1,5,7,1,40,28,30,42,0,70,50,31,50
"327",2,16,90,60,13,25,70,35,10,50,9,75,4,5,52,1,6,6,3,6,5,5,60,25,31,3,37,66,65,75,73
"328",3,100,0,50,50,50,50,100,100,50,85,0,0,4,55,4,4,6,3,4,4,4,40,18,50,55,52,51,31,51,47
"329",3,14,42,49,50,50,49,15,27,50,55,65,1,5,42,3,4,5,3,6,6,4,45,26,50,35,45,50,50,76,51
"330",2,0,85,50,50,40,60,15,40,50,30,70,2,6,42,3,6,5,2,4,5,5,50,21,14,16,69,50,59,82,49
"331",2,0,69,53,31,35,87,1,30,16,31,59,2,6,49,1,6,7,3,6,5,3,80,15,16,40,40,59,60,92,60
"332",4,15,70,50,50,50,70,0,30,50,15,30,1,7,48,1,3,6,3,7,7,5,32,27,0,50,50,50,100,50,100
"333",2,85,0,40,50,85,30,100,100,50,70,40,3,2,47,5,4,4,1,3,2,1,55,27,100,100,70,100,40,40,60
"334",2,85,0,50,50,50,10,90,85,50,90,0,3,4,65,4,4,4,1,4,1,3,50,17,85,50,50,85,17,41,17
"335",2,64,0,36,65,51,23,92,70,51,60,23,3,2,50,7,2,1,1,1,1,1,40,25,99,80,71,79,13,16,47
"336",2,70,0,50,50,100,0,85,100,50,70,0,1,2,55,6,3,4,3,3,3,2,40,13,70,70,100,85,30,20,50
"337",2,0,95,50,50,50,90,1,15,50,5,70,4,7,30,1,5,7,3,7,7,3,45,14,50,40,30,50,50,85,50
"338",2,60,15,50,50,50,50,85,60,50,60,40,2,3,52,5,3,1,1,3,3,1,50,26,70,70,50,70,60,40,70
"339",2,2,87,41,32,13,87,13,17,50,1,40,0,5,52,2,5,6,3,6,3,3,72,25,70,15,70,85,85,85,85
"340",3,21,57,50,31,48,53,31,3,52,33,61,2,4,60,2,5,3,1,5,5,3,40,19,51,16,17,58,43,60,45
"341",3,60,12,75,87,44,3,71,40,51,61,16,0,4,59,3,2,2,1,4,7,3,42,17,29,54,29,63,9,12,35
"342",1,100,0,60,85,85,85,100,100,85,100,50,3,3,80,7,7,1,1,4,4,5,50,5,100,97,96,99,97,73,88
